Square,Square,540,24.5,"{{Row[{"""", ""expr""}]}}","Row[{""Square"", ""["", ""expr"", ""]""}]",False,Unary,Prefix,None,610,
SmallCircle,SmallCircle,530,25,"{{Row[{""expr1"", ""∘"", ""expr2"", ""∘"", ""expr3""}]}}","Row[{""SmallCircle"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,607,
CircleDot,CircleDot,520,26,"{{Row[{""expr1"", ""⊙"", ""expr2"", ""⊙"", ""expr3""}]}}","Row[{""CircleDot"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,605,
NonCommutativeMultiply,NonCommutativeMultiply,510,27,"{{Row[{""expr1"", ""**"", ""expr2"", ""**"", ""expr3""}]}}","Row[{""NonCommutativeMultiply"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",True,Binary,Infix,,,
Cross,Cross,500,28,"{{Row[{""expr1"", """", ""expr2"", """", ""expr3""}]}}","Row[{""Cross"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",True,Binary,Infix,None,603,
Dot,Dot,490,29,"{{Row[{""expr1"", ""."", ""expr2"", ""."", ""expr3""}]}}","Row[{""Dot"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",True,Binary,Infix,,,
UnaryMinusPlus,MinusPlus,480,30,"{{Row[{""∓"", ""expr""}]}}","Row[{""MinusPlus"", ""["", ""expr"", ""]""}]",False,Unary,Prefix,None,600,
UnaryPlusMinus,PlusMinus,480,30,"{{Row[{""±"", ""expr""}]}}","Row[{""PlusMinus"", ""["", ""expr"", ""]""}]",False,Unary,Prefix,None,600,
Minus,Minus,480,30,"{{Row[{""-"", ""expr""}]}}","Row[{""Minus"", ""["", ""expr"", ""]""}]",True,Unary,Prefix,Right,600,"This is unary minus. Converts to Times[-1, expr] on input."
UnaryPlus,Plus,480,30,"{{Row[{""+"", ""expr""}]}}","Row[{""Plus"", ""["", ""expr"", ""]""}]",True,Unary,Prefix,Right,,Converts to expr on input.
Divide,Divide,470,31,"{{Row[{""expr1"", ""/"", ""expr2""}], Row[{""expr1"", ""÷"", ""expr2""}]}}","Row[{""Divide"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,Left,590,
FractionBox,FractionBox,470,31,"{{Row[{""expr1"", ""\/"", ""expr2""}]}}","Row[{""FractionBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
Backslash,Backslash,460,32,"{{Row[{""expr1"", ""∖"", ""expr2"", ""∖"", ""expr3""}]}}","Row[{""Backslash"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,580,
Diamond,Diamond,450,33,"{{Row[{""expr1"", ""⋄"", ""expr2"", ""⋄"", ""expr3""}]}}","Row[{""Diamond"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,570,
Wedge,Wedge,440,34,"{{Row[{""expr1"", ""⋀"", ""expr2"", ""⋀"", ""expr3""}]}}","Row[{""Wedge"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,560,
Vee,Vee,430,35,"{{Row[{""x"", ""⋁"", ""y"", ""⋁"", ""…""}]}}","Row[{""Vee"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,550,
CircleTimes,CircleTimes,420,36,"{{Row[{""expr1"", ""⊗"", ""expr2"", ""⊗"", ""expr3""}]}}","Row[{""CircleTimes"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,540,
CenterDot,CenterDot,410,37,"{{Row[{""x"", ""·"", ""y"", ""·"", ""…""}]}}","Row[{""CenterDot"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,530,
Times,Times,400,38,"{{Row[{""expr1"", ""expr2"", ""expr3""}], Row[{""expr1"", ""*"", ""expr2"", ""*"", ""expr3""}], Row[{""expr1"", ""×"", ""expr2"", ""×"", ""expr3""}]}}","Row[{""Times"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",True,Binary,Infix,None,520,
Star,Star,390,39,"{{Row[{""expr1"", ""⋆"", ""expr2"", ""⋆"", ""expr3""}]}}","Row[{""Star"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,510,
VerticalTilde,VerticalTilde,370,41,"{{Row[{""expr1"", ""≀"", ""expr2"", ""≀"", ""expr3""}]}}","Row[{""VerticalTilde"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,490,
Coproduct,Coproduct,360,42,"{{Row[{""expr1"", ""∐"", ""expr2"", ""∐"", ""expr3""}]}}","Row[{""Coproduct"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,500,
Cap,Cap,350,42.5,"{{Row[{""expr1"", ""⌢"", ""expr2"", ""⌢"", ""expr3""}]}}","Row[{""Cap"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,470,
Cup,Cup,340,43,"{{Row[{""expr1"", ""⌣"", ""expr2"", ""⌣"", ""expr3""}]}}","Row[{""Cup"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",False,Binary,Infix,None,460,
CircleMinus,CircleMinus,330,44,"{{Row[{""expr1"", ""⊖"", ""expr2""}]}}","Row[{""CircleMinus"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",False,Binary,Infix,Left,450,
