"LeftDownVectorBar","",740,"{}","{""⥙""}","{}","{{""x"", ""⥙"", ""y""}}","Row[{""LeftDownVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","LeftDownVectorBar[x, y]"
"LeftUpDownVector","",740,"{}","{""⥑""}","{}","{{""x"", ""⥑"", ""y""}}","Row[{""LeftUpDownVector"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","LeftUpDownVector[x, y]"
"LeftUpTeeVector","",740,"{}","{""⥠""}","{}","{{""x"", ""⥠"", ""y""}}","Row[{""LeftUpTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","LeftUpTeeVector[x, y]"
"LeftUpVector","",740,"{}","{""↿""}","{}","{{""x"", ""↿"", ""y""}}","Row[{""LeftUpVector"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","LeftUpVector[x, y]"
"LeftUpVectorBar","",740,"{}","{""⥘""}","{}","{{""x"", ""⥘"", ""y""}}","Row[{""LeftUpVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","LeftUpVectorBar[x, y]"
"LongLeftArrow","",740,"{}","{""⟵""}","{}","{{""x"", ""⟵"", ""y""}}","Row[{""LongLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","LongLeftArrow[x, y]"
"LongLeftRightArrow","",740,"{}","{""⟷""}","{}","{{""x"", ""⟷"", ""y""}}","Row[{""LongLeftRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","LongLeftRightArrow[x, y]"
"LongRightArrow","",740,"{}","{""⟶""}","{}","{{""x"", ""⟶"", ""y""}}","Row[{""LongRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","LongRightArrow[x, y]"
"ReverseUpEquilibrium","",740,"{}","{""⥯""}","{}","{{""x"", ""⥯"", ""y""}}","Row[{""ReverseUpEquilibrium"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","ReverseUpEquilibrium[x, y]"
"RightDownTeeVector","",740,"{}","{""⥝""}","{}","{{""x"", ""⥝"", ""y""}}","Row[{""RightDownTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","RightDownTeeVector[x, y]"
"RightDownVector","",740,"{}","{""⇂""}","{}","{{""x"", ""⇂"", ""y""}}","Row[{""RightDownVector"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","RightDownVector[x, y]"
"RightDownVectorBar","",740,"{}","{""⥕""}","{}","{{""x"", ""⥕"", ""y""}}","Row[{""RightDownVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","RightDownVectorBar[x, y]"
"RightUpDownVector","",740,"{}","{""⥏""}","{}","{{""x"", ""⥏"", ""y""}}","Row[{""RightUpDownVector"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","RightUpDownVector[x, y]"
"RightUpTeeVector","",740,"{}","{""⥜""}","{}","{{""x"", ""⥜"", ""y""}}","Row[{""RightUpTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","RightUpTeeVector[x, y]"
"RightUpVector","",740,"{}","{""↾""}","{}","{{""x"", ""↾"", ""y""}}","Row[{""RightUpVector"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","RightUpVector[x, y]"
"RightUpVectorBar","",740,"{}","{""⥔""}","{}","{{""x"", ""⥔"", ""y""}}","Row[{""RightUpVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","RightUpVectorBar[x, y]"
"ShortDownArrow","",740,"{}","{""""}","{}","{{""x"", """", ""y""}}","Row[{""ShortDownArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","ShortDownArrow[x, y]"
"ShortUpArrow","",740,"{}","{""""}","{}","{{""x"", """", ""y""}}","Row[{""ShortUpArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","ShortUpArrow[x, y]"
"UpArrow","",740,"{}","{""↑""}","{}","{{""x"", ""↑"", ""y""}}","Row[{""UpArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","UpArrow[x, y]"
"UpArrowBar","",740,"{}","{""⤒""}","{}","{{""x"", ""⤒"", ""y""}}","Row[{""UpArrowBar"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","UpArrowBar[x, y]"
