Unofficial Name,Name,Parser Exception,NewPrec,RightPrec,Me,"Precedence Rank (WLD, corrected)","Precedence (UnicodeCharacters.tr, corrected)",Usage,Parse,Arity,Affix,Associativity,Usage String,FullForm,Meaningful,Comments
Apply,Apply,,820,620,2,16,710,"{{Row[{""expr1"", ""@@"", ""expr2""}]}}","Row[{""Apply"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Right,expr1@@expr2,"Apply[expr1, expr2]",True,
ApplyFirstLevel,Apply,,810,620,1,16,710,"{{Row[{""expr1"", ""@@@"", ""expr2""}]}}","Row[{""Apply"", ""["", ""expr1"", "","", ""expr2"", ""{"", ""1"", ""}"", ""]""}]",Binary,Infix,Right,expr1@@@expr2,"Apply[expr1, expr2, List[1]]",True,
Map,Map,,800,620,,16,710,"{{Row[{""expr1"", ""/@"", ""expr2""}]}}","Row[{""Map"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Right,expr1/@expr2,"Map[expr1, expr2]",True,
MapAll,MapAll,,800,620,,16,710,"{{Row[{""expr1"", ""//@"", ""expr2""}]}}","Row[{""MapAll"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Right,expr1//@expr2,"MapAll[expr1, expr2]",True,
Factorial,Factorial,,790,610,,17,700,"{{Row[{""expr"", ""!""}]}}","Row[{""Factorial"", ""["", ""expr"", ""]""}]",Unary,Postfix,Left,expr!,Factorial[expr],True,
Factorial2,Factorial2,,790,610,,17,700,"{{Row[{""expr"", ""!!""}]}}","Row[{""Factorial2"", ""["", ""expr"", ""]""}]",Unary,Postfix,Left,expr!!,Factorial2[expr],True,
Conjugate,Conjugate,,780,605,,18,695,"{{Row[{""expr"", """"}]}}","Row[{""Conjugate"", ""["", ""expr"", ""]""}]",Unary,Postfix,Left,expr,Conjugate[expr],True,
ConjugateTranspose,ConjugateTranspose,,780,605,,18,695,"{{Row[{""expr"", """"}], Row[{""expr"", """"}]}}","Row[{""ConjugateTranspose"", ""["", ""expr"", ""]""}]",Unary,Postfix,Left,expr,ConjugateTranspose[expr],True,
SuperDagger,SuperDagger,,780,605,,18,695,"{{Row[{""expr"", ""^"", ""†""}]}}","Row[{""SuperDagger"", ""["", ""expr"", ""]""}]",Unary,Postfix,Left,expr^†,"Power[expr, \[Dagger]]",True,
Transpose,Transpose,,780,605,,18,695,"{{Row[{""expr"", """"}]}}","Row[{""Transpose"", ""["", ""expr"", ""]""}]",Unary,Postfix,Left,expr,Transpose[expr],True,
Derivative,Derivative,,770,604,,19,,"{{Row[{""expr"", ""''""}]}}","Row[{""Derivative"", ""["", ""n"", ""]"", ""["", ""expr"", ""]""}]",Unary,Postfix,Left,expr''⋯',Derivative[n][expr],True,
StringJoin,StringJoin,,760,600,,20,,"{{Row[{""expr1"", ""<>"", ""expr2""}]}}","Row[{""StringJoin"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1<>expr2,"StringJoin[expr1, expr2]",True,
Power,Power,,750,590,,21,660,"{{Row[{""expr1"", ""^"", ""expr2""}]}}","Row[{""Power"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Right,expr1^expr2,"Power[expr1, expr2]",True,
PartialSuperscriptBox,PartialSuperscriptBox,,750,590,,21,660,"{Row[{""expr"", """"}]}","Row[{""FractionBox"", ""["", ""expr"", "",\""\\["", ""Placeholder"", ""]\""]""}]",Unary,Postfix,Left,,,False,This operator is an invisible Unicode character and is used in the layout of displayed expressions.
SuperscriptBox,SuperscriptBox,,750,590,,21,660,"{{Row[{""expr1"", ""\^"", ""expr2""}]}}","Row[{""SuperscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Right,expr1\^expr2,,True,
SupersubscriptBox,SubsuperscriptBox,,750,590,,21,660,"{{Row[{""expr1"", ""\^"", ""expr2"", ""\%"", ""expr3""}]}}","Row[{""SubsuperscriptBox"", ""["", ""expr1"", "","", ""expr3"", ""]""}]",Ternary,Infix,Right,expr1\^expr2\%expr3,,True,
DoubleDownArrow,DoubleDownArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⇓"", ""y""}]}}","Row[{""DoubleDownArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇓y,"DoubleDownArrow[x, y]",False,
DoubleLongLeftArrow,DoubleLongLeftArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⟸"", ""y""}]}}","Row[{""DoubleLongLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⟸y,"DoubleLongLeftArrow[x, y]",False,
DoubleLongLeftRightArrow,DoubleLongLeftRightArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⟺"", ""y""}]}}","Row[{""DoubleLongLeftRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⟺y,"DoubleLongLeftRightArrow[x, y]",False,
DoubleLongRightArrow,DoubleLongRightArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⟹"", ""y""}]}}","Row[{""DoubleLongRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⟹y,"DoubleLongRightArrow[x, y]",False,
DoubleUpArrow,DoubleUpArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⇑"", ""y""}]}}","Row[{""DoubleUpArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇑y,"DoubleUpArrow[x, y]",False,
