"≀","VerticalTilde","WREATH PRODUCT","($&VerticalTilde;$   $\wr$)","Infix",490,"None","","0x2240",8768,""
"×","Times","MULTIPLICATION SIGN","($*$   $&times;$)","Infix",520,"None","","0x00D7",215,""
"⁢","InvisibleTimes","INVISIBLE TIMES","()","Infix",520,"None","","0x2062",8290,""
"±","PlusMinus","PLUS-MINUS SIGN","($+-$   $&PlusMinus;$   $\pm$)","Infix",430,"Left","","0x00B1",177,""
"±","Plus-minusSign","PLUS-MINUS SIGN","()","Prefix",600,"None","","0x00B1",177,""
"∓","MinusPlus","MINUS-OR-PLUS SIGN","($-+$   $&MinusPlus;$   $\mp$)","Infix",430,"Left","","0x2213",8723,""
"∓","Minus-or-plusSign","MINUS-OR-PLUS SIGN","()","Prefix",600,"None","","0x2213",8723,""
"−","Minus","MINUS SIGN","($&minus;$)","Infix",430,"None","","0x2212",8722,""
"−","MinusSign","MINUS SIGN","()","Prefix",600,"None","","0x2212",8722,""
"∕","DivisionSlash","DIVISION SLASH","()","Infix",590,"Left","","0x2215",8725,""
"÷","Divide","DIVISION SIGN","($div$   $&div;$   $\div$)","Infix",590,"Left","","0x00F7",247,""
"·","CenterDot","MIDDLE DOT","($.$   $&CenterDot;$   $\cdot$   $\centerdot$)","Infix",530,"None","","0x00B7",183,""
"∘","SmallCircle","RING OPERATOR","($sc$   $&SmallCircle;$)","Infix",607,"None","","0x2218",8728,""
"","Cross","","($cross$   $&Cross;$   $\times$)","Infix",603,"None","","0xF4A0",62624,""
"⊕","CirclePlus","CIRCLED PLUS","($c+$   $&CirclePlus;$   $\oplus$)","Infix",450,"None","","0x2295",8853,""
"⊕","CircledPlus","CIRCLED PLUS","()","LargeOp:Prefix",440,"None","","0x2295",8853,""
"⊖","CircleMinus","CIRCLED MINUS","($c-$   $&CircleMinus;$   $\ominus$)","Infix",450,"Left","","0x2296",8854,""
"⊖","CircledMinus","CIRCLED MINUS","()","LargeOp:Prefix",440,"None","","0x2296",8854,""
"⊗","CircleTimes","CIRCLED TIMES","($c*$   $&CircleTimes;$   $\otimes$)","Infix",540,"None","","0x2297",8855,""
"⊗","CircledTimes","CIRCLED TIMES","()","LargeOp:Prefix",500,"None","","0x2297",8855,""
"⊙","CircleDot","CIRCLED DOT OPERATOR","($c.$   $&CircleDot;$   $\odot$)","Infix",605,"None","","0x2299",8857,""
"⊙","CircledDotOperator","CIRCLED DOT OPERATOR","()","LargeOp:Prefix",520,"None","","0x2299",8857,""
"","PermutationProduct","","($p*$)","Infix",605,"None","","0xF3DE",62430,""
"","TensorProduct","","($t*$)","Infix",602,"None","","0xF3DA",62426,""
"","TensorWedge","","($t^$)","Infix",603,"None","","0xF3DB",62427,""
"⋆","Star","STAR OPERATOR","($star$   $&Star;$)","Infix",510,"None","","0x22C6",8902,""
"","Square","","($sq$   $&Square;$)","Prefix",610,"None","","0xF520",62752,""
"⋄","Diamond","DIAMOND OPERATOR","($dia$   $&Diamond;$)","Infix",570,"None","","0x22C4",8900,""
"∆","Laplacian","INCREMENT","($clap$)","Prefix",620,"None","","0x2206",8710,""
"∇","Del","NABLA","($del$   $&Del;$   $\nabla$)","CompoundPrefix",620,"None","","0x2207",8711,""
"","Divergence","","($cdive$)","Prefix",601,"None","","0xF3D7",62423,""
"","Curl","","($ccurl$)","Prefix",601,"None","","0xF3D8",62424,""
"","ProbabilityPr","","($prob$)","Prefix",455,"None","","0xF3DC",62428,""
"","ExpectationE","","($expect$)","Prefix",455,"None","","0xF3DD",62429,""
"∖","Backslash","SET MINUS","($\$   $&Backslash;$   $\setminus$)","Infix",580,"None","","0x2216",8726,""
"⌢","Cap","FROWN","($&frown;$   $\frown$)","Infix",470,"None","","0x2322",8994,""
"⌣","Cup","SMILE","($&smile;$   $\smile$)","Infix",460,"None","","0x2323",8995,""
"∐","Coproduct","N-ARY COPRODUCT","($coprod$   $&Coproduct;$   $\amalg$)","Infix",500,"None","","0x2210",8720,""
"∫","Integral","INTEGRAL","($int$   $&Integral;$   $\int$   $\intop$)","LargeOp:Prefix",455,"None","","0x222B",8747,""
"∮","ContourIntegral","CONTOUR INTEGRAL","($cint$   $&ContourIntegral;$   $\oint$)","LargeOp:Prefix",455,"None","","0x222E",8750,""
"∯","DoubleContourIntegral","SURFACE INTEGRAL","($&DoubleContourIntegral;$)","LargeOp:Prefix",455,"None","","0x222F",8751,""
"∳","CounterClockwiseContourIntegral","ANTICLOCKWISE CONTOUR INTEGRAL","($cccint$   $&CounterClockwiseContourIntegral;$)","LargeOp:Prefix",455,"None","","0x2233",8755,""
"∲","ClockwiseContourIntegral","CLOCKWISE CONTOUR INTEGRAL","($ccint$   $&ClockwiseContourIntegral;$)","LargeOp:Prefix",455,"None","","0x2232",8754,""
"∑","Sum","N-ARY SUMMATION","($sum$   $&Sum;$   $\sum$)","LargeOp:Prefix",440,"None","","0x2211",8721,""
"∏","Product","N-ARY PRODUCT","($prod$   $&Product;$   $\prod$)","LargeOp:Prefix",500,"None","","0x220F",8719,""
"","ContinuedFractionK","","()","LargeOp:Prefix",500,"None","","0xF3D9",62425,""
"⋂","Intersection","N-ARY INTERSECTION","($inter$   $&Intersection;$   $\cap$   $\bigcap$)","Infix",420,"None","","0x22C2",8898,""
"⋂","N-aryIntersection","N-ARY INTERSECTION","()","LargeOp:Prefix",500,"None","","0x22C2",8898,""
"⋃","Union","N-ARY UNION","($un$   $&Union;$   $\cup$   $\bigcup$)","Infix",410,"None","","0x22C3",8899,""
"⋃","N-aryUnion","N-ARY UNION","()","LargeOp:Prefix",440,"None","","0x22C3",8899,""
"⊎","UnionPlus","MULTISET UNION","($&UnionPlus;$   $\biguplus$   $\uplus$)","Infix",410,"None","","0x228E",8846,""
"⊎","MultisetUnion","MULTISET UNION","()","LargeOp:Prefix",440,"None","","0x228E",8846,""
"⊓","SquareIntersection","SQUARE CAP","($&SquareIntersection;$   $\sqcap$)","Infix",420,"None","","0x2293",8851,""
"⊔","SquareUnion","SQUARE CUP","($&SquareUnion;$   $\sqcup$)","Infix",410,"None","","0x2294",8852,""
"⋀","Wedge","N-ARY LOGICAL AND","($^$   $&Wedge;$   $\wedge$)","Infix",560,"None","","0x22C0",8896,""
"⋀","N-aryLogicalAnd","N-ARY LOGICAL AND","()","LargeOp:Prefix",500,"None","","0x22C0",8896,""
"∧","And","LOGICAL AND","($and$   $&&$   $&and;$   $\land$)","Infix",330,"None","","0x2227",8743,""
"⊼","Nand","NAND","($nand$   $!&&$   $&barwed;$)","Infix",330,"None","","0x22BC",8892,""
"⋁","Vee","N-ARY LOGICAL OR","($v$   $&Vee;$   $\vee$)","Infix",550,"None","","0x22C1",8897,""
"⋁","N-aryLogicalOr","N-ARY LOGICAL OR","()","LargeOp:Prefix",440,"None","","0x22C1",8897,""
"∨","Or","LOGICAL OR","($or$   $||$   $&or;$   $\lor$)","Infix",320,"None","","0x2228",8744,""
"⊽","Nor","NOR","($nor$   $&barvee;$)","Infix",320,"None","","0x22BD",8893,""
"⊻","Xor","XOR","($xor$   $&veebar;$)","Infix",325,"None","","0x22BB",8891,""
"","Xnor","","($xnor$)","Infix",325,"None","","0xF4A2",62626,""
"","DiscreteShift","","($shift$)","Prefix",620,"None","","0xF4A3",62627,""
"","DifferenceDelta","","($diffd$)","Prefix",620,"None","","0xF4A4",62628,""
"","DiscreteRatio","","($dratio$)","Prefix",620,"None","","0xF4A5",62629,""
"∂","PartialD","PARTIAL DIFFERENTIAL","($pd$   $&PartialD;$   $\partial$)","Prefix",620,"None","","0x2202",8706,""
